series,submodel,bandai,special_formation,special_livery,operator_en,fine_grained_series,
国鉄DF50形,,,,,,DF50形,
,E233-2000,,,,,E233-2000(貫通型),
E257系,E257-5500,,,,,E257系-5000・5500番台,
E257系,E257-5000,,,,,E257系-5000・5500番台,
E257系,E257-2500,,,,,E257系-2000・2500番台,
E257系,E257-2000,,,,,E257系-2000・2500番台,
E257系,E257-500,,,,,E257系-500番台,
E257系,E257-0,,,,,E257系-0番台,
キハ40系,,,Resort Shirakami,,,キハ40系(Resort Shirakami),
キハ40系,,,Resort Minori,,,キハ40系(Resort Minori),
キハ40系,AT-400,,,,,キハ40/41系,
キハ40系,Kiha 140,,,,,キハ40/41系,
キハ40系,,,Cruis,,,キハ40系(Akita Cruise Train),
キハ40系,,,Iyonada Monogatari,,,キハ40系(Iyonada Monogatari),
キハ40系,,,EtSETOra,,,キハ40系(EtSETOra),
キハ40系,,,Koshino Shu*Kura,,,キハ40系(Koshino Shu*Kura),
キハ40系,,,Umineko,,,キハ40系(Resort Umineko),
キハ40系,,,4047,,,キハ40系(ふたつ星4047),
キハ40系,,,Aru Ressha,,,キハ40系(或る列車),
キハ40系,,,Hanayome,,,キハ40系(花嫁のれん),
キハ40系,,,Marumaru-no-Hanashi,,,キハ40系(〇〇のはなし),

キハ40系,Kiha 40,,,,,キハ40/41系,
キハ40系,Kiha 41,,,,,キハ40/41系,
キハ40系,Kiha 147,,,,,キハ47/48系,
キハ40系,Kiha 47,,,,,キハ47/48系,
キハ40系,Kiha 48,,,,,キハ47/48系,

415系,,1500,,,,415系-1500番台,
455系,413,,,,,413系,
451系,,,,,,455/475系,
453系,,,,,,455/475系,
455系,,,,,,455/475系,
457系,,,,,,455/475系,
471系,,,,,,455/475系,
475系,,,,,,455/475系,

401系,,,,,,415系,
403系,,,,,,415系,

ED77形,,,,,,ED77/78形,
ED78形,,,,,,ED77/78形,

E991系,,,,,,E991/E995形,
クモヤE995形,,,,,,E991/E995形,

E955形,,,,,,E954形,

485系,183,,,,,485系,
485系,489,,,,,485系,
489系,,,,,,485系,
485系,,,Resort Express Yū,,,485系(Resort Express Yū),
485系,,,Kirakira Uetsu,,,485系(Kirakira Uetsu),
485系,,,New Nanohana,,,485系(New Nanohana),
485系,,,Hana,,,485系(Hana),
485系,,,Resort Yamadori,,,485系(Resort Yamadori),
485系,,,Utage,,,485系(Utage),
485系,,,Nodoka,,,485系(Nodoka),
485系,,,zipangu,,,485系(zipangu),
485系,485-3000,,,,,485系-3000番台,
E231系,10-300,,,,,Toei Subway 10-300 series,
E231系,5050,,,,,Tokyu Railway 5000 series,
E231系,5080,,,,,Tokyu Railway 5000 series,
E231系,,,,,Tokyu,Tokyu Railway 5000 series,
E231系,,800,,,,E231系-800番台,
E231系,,500,,,,E231系-500番台,
E235系,,1000,,,,E235系-1000番台,

113系,,3800,,,,113系-3800番台,
115系,,,,しなの鉄道,shinano,115系(しなの鉄道色),
115系,,,,しなの鉄道色,shinano,115系(しなの鉄道色),

113系,,,,,,113/115系,
115系,,,,,,113/115系,
E129系,SR1,,,,,SR1,
205系,,,,,KAI,205系(KAI Commuter Indonesia),
209系,,1000,,,,209系-1000番台,
209系,,500,,,,209系-500番台,
205系,,500,,,,205系-500番台,

165系,2000,,,,fuji,165系(富士急行2000系Panorama Express),
167系,,,,,,165系,
169系,,,,,,165系,
103系,,,,,Kyushu,103系(JR九州)
189系,,,,,,183系


700系,,7000,,,,700系-7000番台(レールスター),
700系,,,Rail Star,,,700系-7000番台(レールスター),
117系,,,West Express Ginga,,,117系(West Express 銀河),
キハ141系,,,Ginga,,,キハ141系(SL銀河),

E7系,,,,,,E7系・W7系,
W7系,,,,,,E7系・W7系,

N700系,,7000,,,,N700系-7/8000番台,
N700系,,8000,,,,N700系-7/8000番台,
N700系,,,,,,N700/N700A系
N700A系,,,,,,N700/N700A系
N700S系,,8000,,,,N700S系-8000番台(かもめ),

211系,,,Yumeji,,,211系(スーパーサルーンゆめじ)

キハ200系,BE220,,,,,BE220形,
キハ65形,KiHa 71,,,,,キハ71系(ゆふいんの森),
キハ71系,,,,,,キハ71系(ゆふいんの森),
キハ72系,,,,,,キハ72系(ゆふいんの森),

キハ261系,,5000,Hamanasu,,,キハ261系-5000番台(はまなす編成),
キハ261系,,5000,Lavender,,,キハ261系-5000番台(ラベンダー編成),

キハ183系,,,Aso Boy!,,,キハ183系(あそぼーい！),
キハ183系,,,North Rainbow Express,,,キハ183系(ノースレインボーエクスプレス),
キハ183系,,,Niseko Express,,,キハ183系(ニセコエクスプレス),
キハ183系,,,Yufu DX,,,キハ183系(ゆふDX),

キハ185系,,,Shikoku Mannaka Sennen Monogatari,,,キハ185系(四国まんなか千年ものがたり),
キハ185系,,,Iyonada Monogatari,,,キハ185系(伊予灘ものがたり),
キハ185系,,,Tosa Toki no Yoake no Monogatari,,,キハ185系(志国土佐 時代の夜明けのものがたり),
キハ185系,,,A-Train,,,キハ185系(A列車で行こう),
キハ185系,,,Ai Yoshinogawa Torokko,,,キハ185系(藍よしのがわトロッコ),


キハ125形,,400,Umisachi-Yamasachi,,,キハ125形(海幸山幸),
キハ32形,,,Tetsudo Hobby Train,,,キハ32形(鉄道ホビートレイン),
787系,,,36plus3,,,787系(36ぷらす3),
5000系,,5100,,,,5000系-5100形,
733系,,1000,,,,733系-1000番台(はこだてライナー),

E5系,,,,,,E5系・H5系,
H5系,,,,,,E5系・H5系,

912形,,,,,,DD13/新幹線912形,
