series,wiki_title,status,type,subtype,operator_page_title,operator_jp,operator_en,full_name,commons_prefix,commons_root_category,commons_root_decision,commons_candidates,needs_review,commons_operator_roots,power_type
E2系,新幹線E2系電車,現役,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E2系電車,Shinkansen E2,Shinkansen E2,exact prefix match,"['Shinkansen E2', 'Shinkansen E2 (200 series livery)', 'Shinkansen E2 (pink line livery)', 'Shinkansen E2 (red line livery)', 'Shinkansen E2 at Fukushima Station (Fukushima)', 'Shinkansen E2 at Hachinohe Station', 'Shinkansen E2 at Kumagaya Station', 'Shinkansen E2 at Kōriyama Station (Fukushima)', 'Shinkansen E2 at Morioka Station', 'Shinkansen E2 at Nagano Station', 'Shinkansen E2 at Niigata Station', 'Shinkansen E2 at Sendai Station (Miyagi)', 'Shinkansen E2 at Shin-Aomori Station', 'Shinkansen E2 at Tokyo Station', 'Shinkansen E2 at Ueno Station', 'Shinkansen E2 at Utsunomiya Station', 'Shinkansen E2 at Ōmiya Station (Saitama)', 'Shinkansen E2 on Hokuriku Shinkansen', 'Shinkansen E2 on Jōetsu Shinkansen', 'Shinkansen E2 on Tōhoku Shinkansen']",False,{'JR East': 'Shinkansen E2'},EMU
E3系,新幹線E3系電車,現役,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E3系電車,Shinkansen E3,Shinkansen E3,exact prefix match,"['Shinkansen E3', 'Shinkansen E3-0', 'Shinkansen E3-1000', 'Shinkansen E3-1000 in silver livery', 'Shinkansen E3-1000 in white and purple livery', 'Shinkansen E3-2000', 'Shinkansen E3-2000 in silver livery', 'Shinkansen E3-2000 in white and purple livery', 'Shinkansen E3-700', 'Shinkansen E3 at Akita Station', 'Shinkansen E3 at Fukushima Station (Fukushima)', 'Shinkansen E3 at Kōriyama Station (Fukushima)', 'Shinkansen E3 at Morioka Station', 'Shinkansen E3 at Sendai Station (Miyagi)', 'Shinkansen E3 at Shinjō Station', 'Shinkansen E3 at Tokyo Station', 'Shinkansen E3 at Ueno Station', 'Shinkansen E3 at Utsunomiya Station', 'Shinkansen E3 at Yamagata Station', 'Shinkansen E3 at Ōmagari Station (Akita)']",False,{'JR East': 'Shinkansen E3'},EMU
E5系,新幹線E5系・H5系電車,現役,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E5系・H5系電車,Shinkansen E5,Shinkansen E5,exact prefix match,"['Shinkansen E5', 'Shinkansen E5 at Hachinohe Station', 'Shinkansen E5 at Kōriyama Station (Fukushima)', 'Shinkansen E5 at Morioka Station', 'Shinkansen E5 at Sendai Station (Miyagi)', 'Shinkansen E5 at Shin-Aomori Station', 'Shinkansen E5 at Shin-Hakodate-Hokuto Station', 'Shinkansen E5 at Tokyo Station', 'Shinkansen E5 at Ōmiya Station (Saitama)', 'Shinkansen E5 on Hokkaidō Shinkansen', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 series E514 mockup']",False,{'JR East': 'Shinkansen E5'},EMU
E6系,新幹線E6系電車,現役,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E6系電車,Shinkansen E6,Shinkansen E6,exact prefix match,"['Shinkansen E6', 'Shinkansen E6 at Akita Station', 'Shinkansen E6 at Morioka Station', 'Shinkansen E6 at Sendai Station (Miyagi)', 'Shinkansen E6 at Tokyo Station', 'Shinkansen E6 at Ōkama Station', 'Shinkansen E6 at Ōmagari Station (Akita)', 'Shinkansen E6 at Ōmiya Station (Saitama)', 'Shinkansen E6 on Akita Shinkansen', 'Shinkansen E6 on Tōhoku Shinkansen']",False,{'JR East': 'Shinkansen E6'},EMU
E7系,新幹線E7系・W7系電車,現役,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E7系・W7系電車,Shinkansen E7,Shinkansen E7,exact prefix match,"['Shinkansen E7', 'Shinkansen E7 (pink line livery)', 'Shinkansen E7 at Kanazawa Station', 'Shinkansen E7 at Nagano Station', 'Shinkansen E7 at Tokyo Station', 'Shinkansen E7 at Ueno Station', 'Shinkansen E7 at Ōmiya Station (Saitama)', 'Shinkansen E7 on Hokuriku Shinkansen', 'Shinkansen E7 on Jōetsu Shinkansen', 'Shinkansen E7 on Tōhoku Shinkansen']",False,{'JR East': 'Shinkansen E7'},EMU
E8系,新幹線E8系電車,現役,新幹線電車,営業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E8系電車,Shinkansen E8,Shinkansen E8,exact prefix match,"['Shinkansen E8', 'Shinkansen E8 at Ōmiya Station (Saitama)', 'Shinkansen E8 on Tōhoku Shinkansen']",False,{'JR East': 'Shinkansen E8'},EMU
E926形,新幹線E926形電車,現役,新幹線電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E926形電車,Shinkansen E926,Shinkansen E926,exact prefix match,['Shinkansen E926'],False,{'JR East': 'Shinkansen E926'},EMU
E956形,新幹線E956形電車,現役,新幹線電車,事業用,['JR東日本の車両形式'],['JR東日本'],['JR East'],新幹線E956形電車,Shinkansen E956,Shinkansen E956,exact prefix match,['Shinkansen E956'],False,{'JR East': 'Shinkansen E956'},EMU
C57形,国鉄C57形蒸気機関車,現役,蒸気機関車,,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄C57形蒸気機関車,C57 steam locomotive,C57 steam locomotives,plural category match,"['C57 steam locomotives', 'C57 steam locomotives (Hokkaido)', 'C57 steam locomotives by number', 'C57 steam locomotives in service']",False,{'JR East': 'C57 steam locomotives'},Steam Locomotive
C58形,国鉄C58形蒸気機関車,現役,蒸気機関車,,['JR東日本の車両形式'],['JR東日本'],['JR East'],国鉄C58形蒸気機関車,C58 steam locomotive,C58 steam locomotives,plural category match,"['C58 steam locomotives', 'C58 steam locomotives (Hokkaido)', 'C58 steam locomotives by number', 'C58 steam locomotives in service']",False,{'JR East': 'C58 steam locomotives'},Steam Locomotive
