,submodel,bandai,operator_en,operator_jp,special_formation,special_livery,category_path_json,category_path
0,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives (Hokkaido)""]","['C57 steam locomotives', 'C57 steam locomotives (Hokkaido)']"
1,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 100 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 100 steam locomotive']"
2,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 11 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 11 steam locomotive']"
3,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 110 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 110 steam locomotive']"
4,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 119 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 119 steam locomotive']"
5,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 124 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 124 steam locomotive']"
6,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 128 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 128 steam locomotive']"
7,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 129 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 129 steam locomotive']"
8,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 135 steam locomotive"", ""C57 135 steam locomotive at the Railway Museum (Japan)""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 135 steam locomotive', 'C57 135 steam locomotive at the Railway Museum (Japan)']"
9,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 135 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 135 steam locomotive']"
10,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 139 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 139 steam locomotive']"
11,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 144 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 144 steam locomotive']"
12,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 148 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 148 steam locomotive']"
13,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 151 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 151 steam locomotive']"
14,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 155 steam locomotive"", ""From Steam Locomotives to Shinkansen""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 155 steam locomotive', 'From Steam Locomotives to Shinkansen']"
15,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 156 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 156 steam locomotive']"
16,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 160 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 160 steam locomotive']"
17,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 165 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 165 steam locomotive']"
18,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 175 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 175 steam locomotive']"
19,C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 186 steam locomotive"", ""C57 186 steam locomotive at Koganei Park""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 186 steam locomotive', 'C57 186 steam locomotive at Koganei Park']"
20,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 189 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 189 steam locomotive']"
21,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 19 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 19 steam locomotive']"
22,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 201 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 201 steam locomotive']"
23,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 26 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 26 steam locomotive']"
24,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 38 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 38 steam locomotive']"
25,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 43 steam locomotive"", ""Wheels of C57 43 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 43 steam locomotive', 'Wheels of C57 43 steam locomotive']"
26,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 44 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 44 steam locomotive']"
27,,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 5 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 5 steam locomotive']"
